stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
373_01,,菩提寺,,40.70309,141.277576,373_01,,0,
373_02,,菩提寺,,40.70318,141.277436,373_02,,0,
374_01,,虫神,,40.682047,141.275644,374_01,,0,
374_02,,虫神,,40.682104,141.275483,374_02,,0,
375_01,,岡沼,,40.666226,141.287808,375_01,,0,
375_02,,岡沼,,40.666275,141.287856,375_02,,0,
376_01,,沖山,,40.657819,141.272329,376_01,,0,
376_02,,沖山,,40.657696,141.272297,376_02,,0,
377_01,,相坂,,40.590352,141.237915,377_01,,0,
377_02,,相坂,,40.59041,141.237793,377_02,,0,
378_01,,藤島,,40.583541,141.237557,378_01,,0,
378_02,,藤島,,40.579632,141.238992,378_02,,0,
379_01,,和島入口,,40.579187,141.239766,379_01,,0,
379_02,,和島入口,,40.579362,141.239349,379_02,,0,
38_01,,イオンモール下田前,,40.599739,141.417201,38_01,,0,
38_02,,イオンモール下田前,,40.59969,141.416224,38_02,,0,
38_03,,イオンモール下田前,,40.601127,141.415905,38_03,,0,
38_04,,イオンモール下田前,,40.601653,141.415589,38_04,,0,
380_01,,野月,,40.577984,141.241591,380_01,,0,
380_02,,野月,,40.577984,141.241452,380_02,,0,
381_01,,石倉,,40.55765,141.236255,381_01,,0,
381_02,,石倉,,40.557696,141.236201,381_02,,0,
382_01,,下米田,,40.549855,141.230966,382_01,,0,
382_02,,下米田,,40.549898,141.230884,382_02,,0,
383_01,,四和小・中学校,,40.547794,141.234735,383_01,,0,
384_01,,米田,,40.547061,141.229143,384_01,,0,
385_01,,北野（米田）,,40.550552,141.227021,385_01,,0,
385_02,,北野（米田）,,40.550582,141.22707,385_02,,0,
386_01,,万内,,40.556542,141.21578,386_01,,0,
386_02,,万内,,40.556468,141.215912,386_02,,0,
387_01,,下平,,40.556642,141.205145,387_01,,0,
387_02,,下平,,40.556659,141.205019,387_02,,0,
388_01,,清瀬,,40.552841,141.201723,388_01,,0,
388_02,,清瀬,,40.552898,141.201637,388_02,,0,
389_01,,大不動,,40.548272,141.196728,389_01,,0,
389_02,,大不動,,40.548276,141.196618,389_02,,0,
39_01,,百石高校前,,40.598993,141.430512,39_01,,0,
39_02,,百石高校前,,40.598638,141.430362,39_02,,0,
390_01,,川尻,,40.536034,141.194489,390_01,,0,
391_01,,杉ノ木,,40.543154,141.188031,391_01,,0,
391_02,,杉ノ木,,40.543242,141.188074,391_02,,0,
392_01,,明戸,,40.539661,141.183553,392_01,,0,
392_02,,明戸,,40.539711,141.183419,392_02,,0,
393_01,,あけぼの学園,,40.535062,141.169591,393_01,,0,
393_02,,あけぼの学園,,40.535129,141.169559,393_02,,0,
394_01,,平山,,40.534409,141.168581,394_01,,0,
394_02,,平山,,40.534426,141.168488,394_02,,0,
